accuracy,f1,auc,sensitivity,specificity,brier,ece,model,feature_set,fold
0.65,0.3940298507462687,0.7136874419662314,0.584070796460177,0.6659528907922913,0.2078651063142776,0.2550291160132813,Lasso-LR,(a) MFCC only,0
0.7307060755336617,0.48427672955974843,0.7314225053078557,0.5579710144927537,0.7813163481953291,0.1828246530941954,0.19342469890077782,Lasso-LR,(a) MFCC only,1
0.6563517915309446,0.3884057971014493,0.6938688993694028,0.5929203539823009,0.6706586826347305,0.21371850263481482,0.2637634216103061,Lasso-LR,(a) MFCC only,2
0.698019801980198,0.5271317829457365,0.7493102391171059,0.7285714285714285,0.6888412017167382,0.20734673032686532,0.24106732471339895,Lasso-LR,(a) MFCC only,3
0.6515912897822446,0.3696969696969697,0.6809462444771723,0.5446428571428571,0.6762886597938145,0.21393374824333555,0.25461748879760654,Lasso-LR,(a) MFCC only,4
0.8086206896551724,0.08264462809917356,0.6601163517841238,0.04424778761061947,0.9935760171306209,0.1483497684528026,0.03905601261125813,K-NN,(a) MFCC only,0
0.7799671592775042,0.0821917808219178,0.6808363334256439,0.043478260869565216,0.9957537154989384,0.16666791549365154,0.06971709010535834,K-NN,(a) MFCC only,1
0.8143322475570033,0.05,0.5736491618532846,0.02654867256637168,0.9920159680638723,0.15544244064739604,0.06941986741262195,K-NN,(a) MFCC only,2
0.7755775577557755,0.10526315789473684,0.6850398528510117,0.05714285714285714,0.9914163090128756,0.16359183187640106,0.048536716348656105,K-NN,(a) MFCC only,3
0.8056951423785594,0.1076923076923077,0.5938604565537555,0.0625,0.977319587628866,0.15252989267132486,0.061155372741548586,K-NN,(a) MFCC only,4
0.8155172413793104,0.17054263565891473,0.6618407837638097,0.09734513274336283,0.9892933618843683,0.14460338180088128,0.03750092960579911,SVC-RBF,(a) MFCC only,0
0.7816091954022989,0.06993006993006994,0.6698513800424627,0.036231884057971016,1.0,0.16179703580542334,0.032754846988269595,SVC-RBF,(a) MFCC only,1
0.8078175895765473,0.078125,0.6019995407415257,0.04424778761061947,0.9800399201596807,0.15040678788710712,0.04008543498560085,SVC-RBF,(a) MFCC only,2
0.7821782178217822,0.10810810810810811,0.6978540772532189,0.05714285714285714,1.0,0.16020393749546386,0.0291250227062667,SVC-RBF,(a) MFCC only,3
0.8174204355108877,0.08403361344537816,0.6243556701030928,0.044642857142857144,0.9958762886597938,0.1458172654865338,0.03129795771984905,SVC-RBF,(a) MFCC only,4
0.7741379310344828,0.30687830687830686,0.6464156449565102,0.25663716814159293,0.8993576017130621,0.164398574936416,0.10427201332460187,XGBoost,(a) MFCC only,0
0.7881773399014779,0.35175879396984927,0.7181144035201084,0.2536231884057971,0.9447983014861996,0.1527008205611597,0.04235223368764511,XGBoost,(a) MFCC only,1
0.7736156351791531,0.31527093596059114,0.6180382597636584,0.2831858407079646,0.8842315369261478,0.16472979734832863,0.12376743050273932,XGBoost,(a) MFCC only,2
0.7904290429042904,0.4940239043824701,0.7689147762109136,0.44285714285714284,0.8948497854077253,0.14620829680953856,0.05889878524682506,XGBoost,(a) MFCC only,3
0.7872696817420436,0.32085561497326204,0.6446612665684831,0.26785714285714285,0.9072164948453608,0.16258297976634775,0.1005284003726202,XGBoost,(a) MFCC only,4
0.8051724137931034,0.0,0.6553031020825832,0.0,1.0,0.157031805835546,0.012728406771054579,GPC,(a) MFCC only,0
0.7733990147783252,0.0,0.6932521000646175,0.0,1.0,0.17598037319554316,0.026970358654867854,GPC,(a) MFCC only,1
0.8273615635179153,0.273972602739726,0.6682034161764966,0.17699115044247787,0.9740518962075848,0.1383752476513295,0.047440951744767965,GPC,(a) MFCC only,2
0.768976897689769,0.0,0.7410024524831391,0.0,1.0,0.17870615338191825,0.032476636536090314,GPC,(a) MFCC only,3
0.8123953098827471,0.0,0.6322533136966126,0.0,1.0,0.15288594472745082,0.02183526311501932,GPC,(a) MFCC only,4
0.6655172413793103,0.4012345679012346,0.7192586837467548,0.5752212389380531,0.6873661670235546,0.2019992008482502,0.24843084442890054,Lasso-LR,(b) +spectral,0
0.7504105090311987,0.5032679738562091,0.7361918828271641,0.5579710144927537,0.8067940552016986,0.17938706799534676,0.18601474273459506,Lasso-LR,(b) +spectral,1
0.6758957654723127,0.41297935103244837,0.7089714376556622,0.6194690265486725,0.688622754491018,0.21009438274925848,0.26458679831068754,Lasso-LR,(b) +spectral,2
0.6947194719471947,0.5092838196286472,0.7600858369098713,0.6857142857142857,0.6974248927038627,0.200137867888234,0.23352237967815004,Lasso-LR,(b) +spectral,3
0.6750418760469011,0.39751552795031053,0.6909425625920471,0.5714285714285714,0.6989690721649484,0.20815175032458166,0.24794584856045324,Lasso-LR,(b) +spectral,4
0.8086206896551724,0.06722689075630252,0.6597089310416706,0.035398230088495575,0.9957173447537473,0.14857501542752682,0.03673946293130574,K-NN,(b) +spectral,0
0.7766830870279147,0.05555555555555555,0.683274869996,0.028985507246376812,0.9957537154989384,0.1668757260265232,0.07199432765389252,K-NN,(b) +spectral,1
0.8175895765472313,0.13846153846153847,0.5423489304576687,0.07964601769911504,0.9840319361277445,0.1570489162524385,0.08745828949617532,K-NN,(b) +spectral,2
0.7854785478547854,0.1875,0.688074800735745,0.10714285714285714,0.9892703862660944,0.1623843840399567,0.05264483472297314,K-NN,(b) +spectral,3
