,,accuracy,accuracy,f1,f1,auc,auc,sensitivity,sensitivity,specificity,specificity,brier,brier,ece,ece,fold,fold
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
feature_set,model,,,,,,,,,,,,,,,,
(a) MFCC only,GPC,0.7975,0.0253,0.0548,0.1225,0.678,0.0416,0.0354,0.0792,0.9948,0.0116,0.1606,0.0168,0.0283,0.0129,2.0,1.5811
(a) MFCC only,K-NN,0.7968,0.0177,0.0856,0.0233,0.6387,0.0515,0.0468,0.014,0.99,0.0073,0.1573,0.0076,0.0576,0.0135,2.0,1.5811
(a) MFCC only,Lasso-LR,0.6773,0.0358,0.4327,0.0689,0.7138,0.0276,0.6016,0.0736,0.6966,0.0481,0.2051,0.0129,0.2416,0.0281,2.0,1.5811
(a) MFCC only,SVC-RBF,0.8009,0.0177,0.1021,0.0408,0.6512,0.038,0.0559,0.0243,0.993,0.0085,0.1526,0.008,0.0342,0.0045,2.0,1.5811
(a) MFCC only,XGBoost,0.7827,0.0082,0.3578,0.078,0.6792,0.0624,0.3008,0.0802,0.9061,0.0232,0.1581,0.0083,0.086,0.034,2.0,1.5811
(b) +spectral,GPC,0.7952,0.0223,0.0,0.0,0.656,0.063,0.0,0.0,1.0,0.0,0.1631,0.0132,0.0241,0.0074,2.0,1.5811
(b) +spectral,K-NN,0.7998,0.0177,0.1118,0.0538,0.6345,0.0625,0.0627,0.0322,0.9897,0.006,0.1571,0.0077,0.0615,0.0193,2.0,1.5811
(b) +spectral,Lasso-LR,0.6923,0.0342,0.4449,0.0564,0.7231,0.0264,0.602,0.0522,0.7158,0.0511,0.2,0.0122,0.2361,0.0301,2.0,1.5811
(b) +spectral,SVC-RBF,0.8036,0.0178,0.1348,0.055,0.6598,0.0396,0.0759,0.0337,0.9913,0.0073,0.1514,0.008,0.035,0.0096,2.0,1.5811
(b) +spectral,XGBoost,0.7903,0.0114,0.3868,0.0659,0.6876,0.0545,0.3265,0.0627,0.9092,0.0164,0.154,0.0075,0.0872,0.0225,2.0,1.5811
(c) +wavelet,GPC,0.7952,0.0223,0.0,0.0,0.6549,0.0566,0.0,0.0,1.0,0.0,0.1631,0.0132,0.0241,0.0074,2.0,1.5811
(c) +wavelet,K-NN,0.8002,0.0176,0.1002,0.0332,0.6327,0.056,0.055,0.0195,0.9922,0.006,0.1569,0.0076,0.0594,0.0171,2.0,1.5811
(c) +wavelet,Lasso-LR,0.6914,0.0335,0.441,0.059,0.7197,0.0309,0.5948,0.0577,0.7164,0.0496,0.2002,0.0123,0.2347,0.0295,2.0,1.5811
(c) +wavelet,SVC-RBF,0.8016,0.0162,0.1282,0.0398,0.6613,0.0397,0.0717,0.023,0.9897,0.0086,0.1517,0.0079,0.038,0.0089,2.0,1.5811
(c) +wavelet,XGBoost,0.795,0.0109,0.3909,0.0746,0.6885,0.0587,0.3244,0.062,0.9158,0.0187,0.1533,0.0099,0.0785,0.0319,2.0,1.5811
(d) +fractal,GPC,0.8363,0.0145,0.4036,0.1043,0.7423,0.0382,0.2778,0.0895,0.9788,0.0084,0.1303,0.0045,0.0428,0.0079,2.0,1.5811
(d) +fractal,K-NN,0.8104,0.0128,0.1474,0.0663,0.6372,0.0603,0.0811,0.0385,0.9975,0.0037,0.1534,0.0063,0.0605,0.0128,2.0,1.5811
(d) +fractal,Lasso-LR,0.6988,0.0397,0.4498,0.0776,0.7285,0.0384,0.6013,0.0766,0.7237,0.0468,0.196,0.0134,0.2308,0.0295,2.0,1.5811
(d) +fractal,SVC-RBF,0.8072,0.012,0.1944,0.0657,0.6689,0.0432,0.1146,0.0404,0.9851,0.0092,0.1484,0.0068,0.0395,0.0114,2.0,1.5811
(d) +fractal,XGBoost,0.8003,0.0193,0.3972,0.0965,0.706,0.0542,0.3263,0.0852,0.9215,0.0161,0.1469,0.0114,0.0787,0.0201,2.0,1.5811
(e) +heart-cycle,GPC,0.8403,0.0075,0.4362,0.0662,0.7522,0.0417,0.3059,0.0583,0.9771,0.0085,0.1282,0.0033,0.0461,0.0087,2.0,1.5811
(e) +heart-cycle,K-NN,0.8025,0.0138,0.1013,0.0687,0.6545,0.0455,0.0555,0.0383,0.9942,0.0032,0.1532,0.0065,0.0619,0.0081,2.0,1.5811
(e) +heart-cycle,Lasso-LR,0.7109,0.0357,0.4649,0.0741,0.7299,0.0384,0.6142,0.0724,0.7355,0.0466,0.1935,0.0133,0.2252,0.0245,2.0,1.5811
(e) +heart-cycle,SVC-RBF,0.8102,0.0151,0.2443,0.0623,0.6812,0.0496,0.1506,0.0394,0.9796,0.0076,0.1468,0.0072,0.0526,0.0066,2.0,1.5811
(e) +heart-cycle,XGBoost,0.8072,0.0147,0.4212,0.0805,0.7119,0.0517,0.346,0.0653,0.9253,0.0133,0.1437,0.0105,0.0719,0.0176,2.0,1.5811
